#.<ReportHeader>: 
#  +: {CreatedBy: undefined, CreatedAt: 2026-09-24T08:52:00.883Z}
#  QueryDescriptionLink: -->\..TaskListTasks<
#  QueryDescription: 
#    Type: QueryDescription
#    Select: [Status, Importance, Estimation, By, RemTime, Summary, Tags, IDLINK as IdLink, DependsOn]
#    From: 
#      - -->CurrentWork\Bobi\<
#      - -->CurrentWork\Hana\<
#      - -->Tasks\<
#    OutputFile: Reports\TaskListTasks.csv
#    OrderBy: [Importance desc, Status desc, By, RemTime]
#    Where: 
#      TaggedBy: [TL]
#      LeavesOnly: false
#      SkipFoldersAndFiles: false
#      SkipUnder: [-->Tasks\Archive\<, -->CurrentWork\Bobi\TestMaterial\ReportGenTest\<]
#  Log: 
#    - Created at 2026-09-24T08:52:00.883Z; Added / Updated / Deleted: 53 / 0 / 0
Status    , Importance, Estimation, By          , RemTime, Summary                                                                       , Tags                 , IdLink                                                                                                                                                                                                                                     , DependsOn
EstTODO   , 5-VeryHigh,         30, "Bobi, Hana",      30, Decide:_ how should we handle history?                                        , "Before1stPost, TL"  , "-->Tasks\Website\..Improvements..CreateRoadmap..""Decide:_ how should we handle history?""<"                                                                                                                                              , 
EstTODO   , 5-VeryHigh,         30, Hana        ,      30, Prepare for health-log showcase                                               , "TL, Private, Health", "-->Tasks\Miscellaneous\..Health..""Create health-log tracking requirements""..""Showcase health-log to Bobi""..""Prepare for health-log showcase""<"                                                                                      , 
Done      , 5-VeryHigh,         20, Bobi        ,      20, Tag the Done ones with TLDone                                                 , TL                   , "-->Tasks\ToBeSorted\..Tasks20260922..""Reprioritize the Tasks""..""Tag the Done ones with TLDone""<"                                                                                                                                      , 
Blocked   , 5-VeryHigh,         60, "Bobi, Hana",      60, Finalize and upload the content                                               , "Before1stPost, TL"  , -->Tasks\Website\..Improvements..RecordingAboutHistory..FinalizeAndUpload<                                                                                                                                                                 , "-->Tasks\Website\..Improvements..CreateRoadmap..""Decide:_ how should we handle history?""<"
Blocked   , 5-VeryHigh,         20, Hana        ,      20, Research and decide about kidney ultrasound                                   , "TL, Private"        , "-->Tasks\Miscellaneous\..Health..""Schedule lab test and doctor appointments""..""Kidney functions""..""Research and decide about kidney ultrasound""<"                                                                                   , Cystatin-c results
OnGoing   , 4-High    ,          5, Bobi        ,       5, Pay the electricity bill                                                      , "TL, Private"        , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Personal..Chores..""Pay the electricity bill""<"                                                                                                                           , 
NEXT      , 4-High    ,         30, Bobi        ,      30, Do the admin                                                                  , "TL, Private"        , "-->Tasks\ToBeSorted\..Tasks20260824..""Driving licence""..""Do the admin""<"                                                                                                                                                              , 
InProgress, 4-High    ,         60, Bobi        ,      60, Move the Tasks from the ToBeSorted to their correct place                     , "Before1stPost, TL"  , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..TaskAdmin..""Have the (development) Tasks worked out (on which I'm planning to work on)""..""Move the Tasks from the ToBeSorted to their correct place""<"                 , 
InProgress, 4-High    ,         90, Bobi        ,      70, Finish the F2FinanceHelper draft requirement                                  , "Before1stPost, TL"  , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..TaskAdmin..""Finish the F2FinanceHelper draft requirement""<"                                                                                                              , 
InProgress, 4-High    ,         80, Hana        ,      18, Create baseline requirement for the schedules                                 , TL                   , "-->Tasks\ToBeSorted\..Tasks20260824..""Create baseline (daily/weekly) schedule as of 20260824""..""Create baseline requirement for the schedules""<"                                                                                      , 
InProgress, 4-High    ,        240, Bobi        ,      60, Set up Delli3                                                                 , TL                   , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Infrastructure..""Set up Delli3""<"                                                                                                                                        , 
EstTODO   , 4-High    ,         25, Hana        ,      25, Review what is in the workspace                                               , "TL, Health"         , "-->Tasks\ToBeSorted\..Tasks20260824..""Move the below NegativeEventProtocol to its correct place""..""Create rules baseline""..""Review what is in the workspace""<"                                                                      , 
EstTODO   , 4-High    ,         10, "Hana, Bobi",      10, Talk Phone domain blocking through with Hana and implement                    , TL                   , "-->Tasks\ToBeSorted\..Tasks20260824..""Hana domains blocking on phone""..""Talk Phone domain blocking through with Hana and implement""<"                                                                                                 , 
EstTODO   , 4-High    ,         30, "Hana, Bobi",      30, Review and work out with Bobi                                                 , "TL, Health"         , "-->Tasks\ToBeSorted\..Tasks20260824..""Move the below NegativeEventProtocol to its correct place""..""Review and work out with Bobi""<"                                                                                                   , 
EstTODO   , 4-High    ,         60, "Hana, Bobi",      60, Revise the other pages                                                        , "Before1stPost, TL"  , -->Tasks\Website\..Improvements..ShadowsSite..RevisePages<                                                                                                                                                                                 , 
NEXT      , 3-Average ,         15, Bobi        ,      15, Book the appointment if decided                                               , "TL, Private"        , "-->Tasks\Miscellaneous\..Health..""Schedule lab test and doctor appointments""..""Kidney functions""..""Book the appointment if decided""<"                                                                                               , 
NEXT      , 3-Average ,         10, Hana        ,      10, Create TS tutorial tasks                                                      , TL                   , "-->CurrentWork\Hana\TasksToBeSorted\..""Learn TypeScript basics""..""Create TS tutorial tasks""<"                                                                                                                                         , 
NEXT      , 3-Average ,         20, Hana        ,      20, Action the feedbacks                                                          , "TL, Private"        , "-->CurrentWork\Hana\Personal\..Finances..""Action the feedbacks""<"                                                                                                                                                                       , 
InProgress, 3-Average ,         60, "Bobi, Hana",      60, Work out the script/screenplay                                                , "Before1stPost, TL"  , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Outreach..""Work out the DM comparison outreach idea""..""Work out the script/screenplay""<"                                                                               , 
InProgress, 3-Average ,         30, Hana        ,        , Introductory plan for twitch platform                                         , TL                   , "-->Tasks\PublicRelations\..CreateOutreachPlan..""Introductory plan for twitch platform""<"                                                                                                                                                , 
EstTODO   , 3-Average ,         30, Bobi        ,      30, Parse report CSV                                                              , TL                   , -->Tasks\Software\F2ToolsExtension\..Tasks..QueryBasedCSV..ParseReport<                                                                                                                                                                    , 
EstTODO   , 3-Average ,         90, Bobi        ,      90, Update the Requirements according to the current implementation               , "Before1stPost, TL"  , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..TaskAdmin..""Have the (development) Tasks worked out (on which I'm planning to work on)""..""Update the Requirements according to the current implementation""<"           , 
EstTODO   , 3-Average ,         20, "Bobi, Hana",      20, Set up Codex in VS Code for Hana                                              , TL                   , "-->CurrentWork\Hana\TasksToBeSorted\..""Set up Codex in VS Code for Hana""<"                                                                                                                                                              , 
EstTODO   , 3-Average ,         20, Hana        ,      20, Try to find spores and buy if found                                           , "TL, Private"        , "-->Tasks\ToBeSorted\..Tasks20260824..""Research and buy psylocibin""..""Try to find spores and buy if found""<"                                                                                                                           , 
EstTODO   , 3-Average ,         40, Hana        ,      40, "Review the requirements currently in ""Draft"" status"                       , TL                   , "-->CurrentWork\Hana\TasksToBeSorted\..""Review the requirements currently in ""Draft"" status""<"                                                                                                                                         , 
EstTODO   , 3-Average ,         60, Hana        ,      60, Analysis of the month of June and July                                        , "TL, Private"        , "-->Tasks\Miscellaneous\..Health..""Analysis of the month of June and July""<"                                                                                                                                                             , 
EstTODO   , 3-Average ,         15, "Hana, Bobi",      15, Find a TS tutorial                                                            , TL                   , "-->CurrentWork\Hana\TasksToBeSorted\..""Learn TypeScript basics""..""Find a TS tutorial""<"                                                                                                                                               , 
Blocked   , 3-Average ,         20, "Bobi, Hana",      20, Create a process about uploading things to the site                           , TL                   , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Admin..""Create a process about uploading things to the site""<"                                                                                                           , "-->.\Tasks\Website\..Improvements..""Create Updates section containing the commit-message-like updates""<"
Blocked   , 3-Average ,           , Hana        ,        , Schedule testing afer receiving Sudan Money                                   , "TL, Private"        , "-->Tasks\Miscellaneous\..Health..""Schedule lab test and doctor appointments""..""Schedule testing afer receiving Sudan Money""<"                                                                                                         , 
Scheduled , 2-Low     ,         20, "Bobi, Hana",      20, "After a few days of doing and fine-tuning, move the process to the processes", TL                   , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Admin..""Create a daily process now that we have queries""..""After a few days of doing and fine-tuning, move the process to the processes""<"                             , 
NEXT      , 2-Low     ,         20, Hana        ,      20, Do it                                                                         , "TL, Private"        , "-->CurrentWork\Hana\Personal\..""Schedule Bobis Lab""..""Sperm lab""..""Do it""<"                                                                                                                                                         , 
EstTODO   , 2-Low     ,         20, Bobi        ,      20, Explore OBS filename prompt and implement if easy                             , TL                   , "-->Tasks\ToBeSorted\..Tasks20260824..""Explore OBS filename prompt and implement if easy""<"                                                                                                                                              , 
EstTODO   , 2-Low     ,         60, Bobi        ,      60, "Collect money transferred to Baba, Tuta, Hiba"                               , "TL, Private"        , "-->CurrentWork\Hana\TasksToBeSorted\..""Collect money transferred to Baba, Tuta, Hiba""<"                                                                                                                                                 , 
EstTODO   , 2-Low     ,         10, Hana        ,      10, Schedule a Task about updating Finances every Saturday                        , "TL, Private"        , "-->CurrentWork\Hana\Personal\..Finances..""Schedule a Task about updating Finances every Saturday""<"                                                                                                                                     , 
EstTODO   , 2-Low     ,         20, Hana        ,      20, Research first                                                                , "TL, Private"        , "-->CurrentWork\Hana\Personal\..""Schedule Bobis Lab""..""Sperm lab""..""Research first""<"                                                                                                                                                , 
EstTODO   , 2-Low     ,         25, Hana        ,      25, Research genetics test                                                        , "TL, Private"        , "-->CurrentWork\Hana\Personal\..""Schedule Bobis Lab""..""Genetics test""..""Research genetics test""<"                                                                                                                                    , 
OnHold    , 1-VeryLow ,         60, "Hana, Bobi",      60, Decide:_ what to embed and how                                                , "Before1stPost, TL"  , "-->Tasks\Website\..Improvements..""Embed something from Twitch""..""Decide:_ what to embed and how""<"                                                                                                                                    , 
EstTODO   , 1-VeryLow ,         15, Bobi        ,      15, Update the colors to the current VS Code theme                                , "Before1stPost, TL"  , "-->Tasks\Software\F2FileToHtmlConverter\..F2FileToHtmlConverter..Development..SecondPhase..""Update the colors to the current VS Code theme""<"                                                                                           , 
EstTODO   , 1-VeryLow ,         20, Bobi        ,      20, Update the colors of the non-generated pages                                  , "Before1stPost, TL"  , "-->Tasks\Website\..Improvements..""Update the colors to the current VS Code color scheme""..""Update the colors of the non-generated pages""<"                                                                                            , 
OnHold    ,           ,         60, Bobi        ,      60, Create the baseline posts from the ideas                                      , "Before1stPost, TL"  , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Outreach..""Create the baseline posts from the ideas""<"                                                                                                                   , 
OnHold    ,           ,        120, Bobi        ,     120, "Add ""Commit message""-like feature"                                         , "Before1stPost, TL"  , "-->Tasks\Software\F2FileToHtmlConverter\..F2FileToHtmlConverter..Development..SecondPhase..""Add ""Commit message""-like feature""<"                                                                                                      , 
NEXT      ,           ,         90, "Bobi, Hana",      90, Implement animation                                                           , "Before1stPost, TL"  , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Outreach..""Work out the DM comparison outreach idea""..""Implement animation""<"                                                                                          , 
NEXT      ,           ,           , Hana        ,        , Action the feedback items                                                     , "TL, Private, Health", "-->Tasks\Miscellaneous\..Health..""Create health-log tracking requirements""..""Showcase health-log to Bobi""..""Action the feedback items""<"                                                                                            , 
